tempo,actual_tyre,visual_tyre,wear_tyre,available_tyre,recommended_session,life_span,usable_life,lap_delta_time,fitted
131.456,18,17,1,1,6,21,22,0,1
132.452,18,17,1,1,6,21,22,0,1
133.44,18,17,1,1,6,21,22,0,1
134.441,18,17,1,1,6,21,22,0,1
135.455,18,17,1,1,6,21,22,0,1
136.453,18,17,1,1,6,21,22,0,1
137.451,18,17,1,1,6,21,22,0,1
138.444,18,17,1,1,6,21,22,0,1
139.457,18,17,1,1,6,21,22,0,1
140.455,18,17,1,1,6,21,22,0,1
141.449,18,17,1,1,6,21,22,0,1
142.441,18,17,1,1,6,21,22,0,1
143.444,18,17,1,1,6,21,22,0,1
144.445,18,17,1,1,6,21,22,0,1
145.433,18,17,1,1,6,21,22,0,1
146.439,18,17,1,1,6,21,22,0,1
147.442,18,17,1,1,6,21,22,0,1
148.434,18,17,1,1,6,21,22,0,1
149.452,18,17,1,1,6,21,22,0,1
150.451,18,17,2,1,6,21,22,0,1
151.44,18,17,2,1,6,21,22,0,1
152.451,18,17,2,1,6,21,22,0,1
153.445,18,17,2,1,6,21,22,0,1
154.442,18,17,2,1,6,21,22,0,1
155.438,18,17,2,1,6,21,22,0,1
156.45,18,17,2,1,6,21,22,0,1
157.452,18,17,2,1,6,21,22,0,1
158.437,18,17,2,1,6,21,22,0,1
159.445,18,17,2,1,6,21,22,0,1
160.435,18,17,2,1,6,21,22,0,1
161.435,18,17,2,1,6,21,22,0,1
162.454,18,17,2,1,6,21,22,0,1
163.453,18,17,2,1,6,21,22,0,1
164.435,18,17,2,1,6,21,22,0,1
165.445,18,17,2,1,6,21,22,0,1
166.455,18,17,2,1,6,21,22,0,1
167.454,18,17,2,1,6,21,22,0,1
168.446,18,17,2,1,6,21,22,0,1
169.446,18,17,2,1,6,21,22,0,1
170.453,18,17,2,1,6,21,22,0,1
171.454,18,17,2,1,6,21,22,0,1
172.438,18,17,2,1,6,21,22,0,1
173.451,18,17,3,1,6,21,22,0,1
174.444,18,17,3,1,6,21,22,0,1
175.447,18,17,3,1,6,21,22,0,1
176.445,18,17,3,1,6,21,22,0,1
177.451,18,17,3,1,6,21,22,0,1
178.434,18,17,3,1,6,21,22,0,1
179.435,18,17,3,1,6,21,22,0,1
180.434,18,17,3,1,6,21,22,0,1
181.444,18,17,3,1,6,21,22,0,1
182.451,18,17,3,1,6,21,22,0,1
183.452,18,17,3,1,6,21,22,0,1
184.452,18,17,3,1,6,21,22,0,1
185.45,18,17,3,1,6,20,22,0,1
186.437,18,17,3,1,6,20,22,0,1
187.436,18,17,3,1,6,20,22,0,1
188.439,18,17,3,1,6,20,22,0,1
189.439,18,17,3,1,6,20,22,0,1
190.438,18,17,3,1,6,20,22,0,1
191.434,18,17,3,1,6,20,22,0,1
192.434,18,17,3,1,6,20,22,0,1
193.459,18,17,3,1,6,20,22,0,1
194.452,18,17,3,1,6,20,22,0,1
195.449,18,17,3,1,6,20,22,0,1
196.44,18,17,3,1,6,20,22,0,1
197.441,18,17,3,1,6,20,22,0,1
198.439,18,17,3,1,6,20,22,0,1
199.44,18,17,3,1,6,20,22,0,1
200.438,18,17,3,1,6,20,22,0,1
201.433,18,17,3,1,6,20,22,0,1
202.453,18,17,3,1,6,20,22,0,1
203.457,18,17,3,1,6,20,22,0,1
204.705,18,17,3,1,6,20,22,0,1
205.721,18,17,3,1,6,20,22,0,1
206.713,18,17,3,1,6,20,22,0,1
207.705,18,17,3,1,6,20,22,0,1
208.727,18,17,3,1,6,20,22,0,1
209.725,18,17,3,1,6,20,22,0,1
210.723,18,17,3,1,6,20,22,0,1
211.719,18,17,3,1,6,20,22,0,1
212.724,18,17,3,1,6,20,22,0,1
213.728,18,17,4,1,6,20,22,0,1
214.707,18,17,4,1,6,20,22,0,1
215.714,18,17,4,1,6,20,22,0,1
216.722,18,17,4,1,6,20,22,0,1
217.722,18,17,4,1,6,20,22,0,1
218.72,18,17,4,1,6,20,22,0,1
219.721,18,17,4,1,6,20,22,0,1
220.705,18,17,4,1,6,20,22,0,1
221.711,18,17,4,1,6,20,22,0,1
222.704,18,17,4,1,6,20,22,0,1
223.706,18,17,4,1,6,20,22,0,1
224.713,18,17,4,1,6,20,22,0,1
225.708,18,17,4,1,6,20,22,0,1
226.704,18,17,4,1,6,20,22,0,1
227.707,18,17,4,1,6,20,22,0,1
228.723,18,17,4,1,6,20,22,0,1
229.709,18,17,4,1,6,20,22,0,1
230.702,18,17,4,1,6,20,22,0,1
231.714,18,17,4,1,6,20,22,0,1
232.719,18,17,4,1,6,20,22,0,1
233.712,18,17,4,1,6,20,22,0,1
234.701,18,17,4,1,6,20,22,0,1
235.705,18,17,4,1,6,20,22,0,1
236.708,18,17,5,1,6,20,22,0,1
237.726,18,17,5,1,6,20,22,0,1
238.717,18,17,5,1,6,20,22,0,1
239.708,18,17,5,1,6,20,22,0,1
240.726,18,17,5,1,6,20,22,0,1
241.716,18,17,5,1,6,20,22,0,1
242.709,18,17,5,1,6,20,22,0,1
243.714,18,17,5,1,6,20,22,0,1
244.724,18,17,5,1,6,20,22,0,1
245.702,18,17,5,1,6,20,22,0,1
246.707,18,17,5,1,6,20,22,0,1
247.717,18,17,5,1,6,20,22,0,1
248.72,18,17,6,1,6,20,22,0,1
249.704,18,17,6,1,6,20,22,0,1
250.713,18,17,6,1,6,20,22,0,1
251.702,18,17,6,1,6,20,22,0,1
252.718,18,17,6,1,6,20,22,0,1
253.713,18,17,6,1,6,20,22,0,1
254.704,18,17,6,1,6,20,22,0,1
255.703,18,17,6,1,6,20,22,0,1
256.723,18,17,6,1,6,20,22,0,1
257.717,18,17,6,1,6,20,22,0,1
258.709,18,17,6,1,6,20,22,0,1
259.711,18,17,6,1,6,20,22,0,1
260.706,18,17,6,1,6,20,22,0,1
261.713,18,17,6,1,6,20,22,0,1
262.716,18,17,6,1,6,19,22,0,1
263.706,18,17,6,1,6,19,22,0,1
264.717,18,17,6,1,6,19,22,0,1
265.71,18,17,6,1,6,19,22,0,1
266.705,18,17,6,1,6,19,22,0,1
267.701,18,17,6,1,6,19,22,0,1
268.702,18,17,6,1,6,19,22,0,1
269.707,18,17,7,1,6,19,22,0,1
270.706,18,17,7,1,6,19,22,0,1
271.704,18,17,7,1,6,19,22,0,1
272.717,18,17,7,1,6,19,22,0,1
273.721,18,17,7,1,6,19,22,0,1
274.715,18,17,7,1,6,19,22,0,1
275.723,18,17,7,1,6,19,22,0,1
276.716,18,17,7,1,6,19,22,0,1
277.718,18,17,7,1,6,19,22,0,1
278.705,18,17,7,1,6,19,22,0,1
279.716,18,17,7,1,6,19,22,0,1
280.728,18,17,7,1,6,19,22,0,1
281.711,18,17,7,1,6,19,22,0,1
282.707,18,17,7,1,6,19,22,0,1
283.717,18,17,7,1,6,19,22,0,1
284.726,18,17,7,1,6,19,22,0,1
285.722,18,17,7,1,6,19,22,0,1
286.706,18,17,7,1,6,19,22,0,1
287.709,18,17,7,1,6,19,22,0,1
288.715,18,17,7,1,6,19,22,0,1
289.714,18,17,7,1,6,19,22,0,1
290.71,18,17,7,1,6,19,22,0,1
291.704,18,17,7,1,6,19,22,0,1
292.706,18,17,7,1,6,19,22,0,1
293.715,18,17,7,1,6,19,22,0,1
294.708,18,17,7,1,6,19,22,0,1
295.714,18,17,7,1,6,19,22,0,1
296.723,18,17,7,1,6,19,22,0,1
297.703,18,17,8,1,6,19,22,0,1
298.721,18,17,8,1,6,19,22,0,1
299.712,18,17,8,1,6,19,22,0,1
300.719,18,17,8,1,6,19,22,0,1
301.714,18,17,8,1,6,19,22,0,1
302.711,18,17,8,1,6,19,22,0,1
303.725,18,17,8,1,6,19,22,0,1
304.705,18,17,8,1,6,19,22,0,1
305.713,18,17,8,1,6,19,22,0,1
306.701,18,17,8,1,6,19,22,0,1
307.721,18,17,8,1,6,19,22,0,1
308.722,18,17,8,1,6,19,22,0,1
309.71,18,17,8,1,6,19,22,0,1
310.702,18,17,8,1,6,19,22,0,1
311.704,18,17,8,1,6,19,22,0,1
312.724,18,17,8,1,6,19,22,0,1
313.72,18,17,8,1,6,19,22,0,1
314.709,18,17,8,1,6,19,22,0,1
315.714,18,17,8,1,6,19,22,0,1
316.717,18,17,8,1,6,19,22,0,1
317.723,18,17,8,1,6,19,22,0,1
318.705,18,17,9,1,6,19,22,0,1
319.724,18,17,9,1,6,19,22,0,1
320.701,18,17,9,1,6,19,22,0,1
321.706,18,17,9,1,6,19,22,0,1
322.706,18,17,9,1,6,19,22,0,1
323.702,18,17,9,1,6,18,22,0,1
324.704,18,17,9,1,6,18,22,0,1
325.718,18,17,9,1,6,18,22,0,1
326.712,18,17,9,1,6,18,22,0,1
327.712,18,17,9,1,6,18,22,0,1
328.708,18,17,9,1,6,18,22,0,1
329.702,18,17,9,1,6,18,22,0,1
330.727,18,17,10,1,6,18,22,0,1
331.723,18,17,10,1,6,18,22,0,1
332.708,18,17,10,1,6,18,22,0,1
333.714,18,17,10,1,6,18,22,0,1
334.702,18,17,10,1,6,18,22,0,1
335.721,18,17,10,1,6,18,22,0,1
336.707,18,17,10,1,6,18,22,0,1
337.709,18,17,10,1,6,18,22,0,1
338.715,18,17,10,1,6,18,22,0,1
339.708,18,17,10,1,6,18,22,0,1
340.713,18,17,10,1,6,18,22,0,1
341.71,18,17,10,1,6,18,22,0,1
342.72,18,17,10,1,6,18,22,0,1
343.716,18,17,10,1,6,18,22,0,1
344.719,18,17,10,1,6,18,22,0,1
345.721,18,17,10,1,6,18,22,0,1
346.72,18,17,10,1,6,18,22,0,1
347.708,18,17,10,1,6,18,22,0,1
348.716,18,17,11,1,6,18,22,0,1
349.701,18,17,11,1,6,18,22,0,1
350.718,18,17,11,1,6,18,22,0,1
351.715,18,17,11,1,6,18,22,0,1
352.71,18,17,11,1,6,18,22,0,1
353.716,18,17,11,1,6,18,22,0,1
354.706,18,17,11,1,6,18,22,0,1
355.721,18,17,11,1,6,18,22,0,1
356.706,18,17,11,1,6,18,22,0,1
357.722,18,17,11,1,6,18,22,0,1
358.718,18,17,11,1,6,18,22,0,1
359.71,18,17,11,1,6,18,22,0,1
360.72,18,17,11,1,6,18,22,0,1
361.717,18,17,11,1,6,18,22,0,1
362.702,18,17,11,1,6,18,22,0,1
363.711,18,17,11,1,6,18,22,0,1
364.719,18,17,11,1,6,18,22,0,1
365.704,18,17,11,1,6,18,22,0,1
366.704,18,17,11,1,6,18,22,0,1
367.713,18,17,11,1,6,18,22,0,1
368.717,18,17,11,1,6,18,22,0,1
369.723,18,17,11,1,6,18,22,0,1
370.721,18,17,11,1,6,18,22,0,1
371.725,18,17,11,1,6,18,22,0,1
372.712,18,17,11,1,6,18,22,0,1
373.718,18,17,11,1,6,18,22,0,1
374.726,18,17,11,1,6,18,22,0,1
375.718,18,17,11,1,6,18,22,0,1
376.721,18,17,11,1,6,18,22,0,1
377.728,18,17,11,1,6,18,22,0,1
378.725,18,17,11,1,6,18,22,0,1
379.723,18,17,11,1,6,18,22,0,1
380.701,18,17,11,1,6,18,22,0,1
381.711,18,17,12,1,6,18,22,0,1
382.707,18,17,12,1,6,18,22,0,1
383.703,18,17,12,1,6,18,22,0,1
384.72,18,17,12,1,6,18,22,0,1
385.707,18,17,12,1,6,18,22,0,1
386.719,18,17,12,1,6,18,22,0,1
387.714,18,17,12,1,6,18,22,0,1
388.705,18,17,12,1,6,18,22,0,1
389.717,18,17,12,1,6,18,22,0,1
390.715,18,17,12,1,6,18,22,0,1
391.717,18,17,12,1,6,18,22,0,1
392.701,18,17,13,1,6,17,22,0,1
393.716,18,17,13,1,6,17,22,0,1
394.718,18,17,13,1,6,17,22,0,1
395.701,18,17,13,1,6,17,22,0,1
396.719,18,17,13,1,6,17,22,0,1
397.704,18,17,13,1,6,17,22,0,1
398.71,18,17,13,1,6,17,22,0,1
399.702,18,17,13,1,6,17,22,0,1
400.705,18,17,13,1,6,17,22,0,1
401.709,18,17,13,1,6,17,22,0,1
402.71,18,17,13,1,6,17,22,0,1
403.715,18,17,13,1,6,17,22,0,1
404.722,18,17,13,1,6,17,22,0,1
405.713,18,17,13,1,6,17,22,0,1
406.708,18,17,13,1,6,17,22,0,1
407.716,18,17,13,1,6,17,22,0,1
408.717,18,17,13,1,6,17,22,0,1
409.723,18,17,13,1,6,17,22,0,1
410.716,18,17,13,1,6,17,22,0,1
411.705,18,17,13,1,6,17,22,0,1
412.712,18,17,13,1,6,17,22,0,1
413.702,18,17,14,1,6,17,22,0,1
414.704,18,17,14,1,6,17,22,0,1
415.712,18,17,14,1,6,17,22,0,1
416.703,18,17,14,1,6,17,22,0,1
417.715,18,17,14,1,6,17,22,0,1
418.704,18,17,14,1,6,17,22,0,1
419.701,18,17,14,1,6,17,22,0,1
420.703,18,17,14,1,6,17,22,0,1
421.704,18,17,14,1,6,17,22,0,1
422.706,18,17,14,1,6,17,22,0,1
423.703,18,17,14,1,6,17,22,0,1
424.71,18,17,14,1,6,17,22,0,1
425.71,18,17,14,1,6,17,22,0,1
426.713,18,17,14,1,6,17,22,0,1
427.724,18,17,14,1,6,17,22,0,1
428.722,18,17,14,1,6,17,22,0,1
429.703,18,17,14,1,6,17,22,0,1
430.705,18,17,14,1,6,17,22,0,1
431.719,18,17,14,1,6,17,22,0,1
432.715,18,17,14,1,6,17,22,0,1
433.704,18,17,14,1,6,17,22,0,1
434.708,18,17,14,1,6,17,22,0,1
435.715,18,17,14,1,6,17,22,0,1
436.707,18,17,14,1,6,17,22,0,1
437.708,18,17,14,1,6,17,22,0,1
438.725,18,17,14,1,6,17,22,0,1
439.704,18,17,14,1,6,17,22,0,1
440.717,18,17,14,1,6,17,22,0,1
441.718,18,17,14,1,6,17,22,0,1
442.722,18,17,14,1,6,17,22,0,1
443.702,18,17,15,1,6,17,22,0,1
444.702,18,17,15,1,6,17,22,0,1
445.714,18,17,15,1,6,17,22,0,1
446.722,18,17,15,1,6,17,22,0,1
447.721,18,17,15,1,6,17,22,0,1
448.71,18,17,15,1,6,17,22,0,1
449.716,18,17,15,1,6,17,22,0,1
450.717,18,17,15,1,6,17,22,0,1
451.705,18,17,15,1,6,17,22,0,1
452.719,18,17,15,1,6,17,22,0,1
453.707,18,17,15,1,6,17,22,0,1
454.711,18,17,15,1,6,17,22,0,1
455.704,18,17,15,1,6,17,22,0,1
456.707,18,17,15,1,6,17,22,0,1
457.701,18,17,15,1,6,17,22,0,1
458.717,18,17,15,1,6,17,22,0,1
459.702,18,17,15,1,6,17,22,0,1
460.709,18,17,15,1,6,17,22,0,1
461.717,18,17,15,1,6,17,22,0,1
462.71,18,17,15,1,6,17,22,0,1
463.714,18,17,15,1,6,17,22,0,1
464.717,18,17,16,1,6,16,22,0,1
465.72,18,17,16,1,6,16,22,0,1
466.724,18,17,16,1,6,16,22,0,1
467.725,18,17,16,1,6,16,22,0,1
468.719,18,17,16,1,6,16,22,0,1
469.716,18,17,16,1,6,16,22,0,1
470.703,18,17,16,1,6,16,22,0,1
471.706,18,17,16,1,6,16,22,0,1
472.712,18,17,16,1,6,16,22,0,1
473.715,18,17,16,1,6,16,22,0,1
474.711,18,17,16,1,6,16,22,0,1
475.705,18,17,16,1,6,16,22,0,1
476.703,18,17,16,1,6,16,22,0,1
477.722,18,17,16,1,6,16,22,0,1
478.718,18,17,16,1,6,16,22,0,1
479.704,18,17,16,1,6,16,22,0,1
480.718,18,17,16,1,6,16,22,0,1
481.702,18,17,17,1,6,16,22,0,1
482.723,18,17,17,1,6,16,22,0,1
483.708,18,17,17,1,6,16,22,0,1
484.719,18,17,17,1,6,16,22,0,1
485.708,18,17,17,1,6,16,22,0,1
486.716,18,17,17,1,6,16,22,0,1
487.708,18,17,17,1,6,16,22,0,1
488.712,18,17,17,1,6,16,22,0,1
489.706,18,17,17,1,6,16,22,0,1
490.709,18,17,17,1,6,16,22,0,1
491.71,18,17,17,1,6,16,22,0,1
492.714,18,17,17,1,6,16,22,0,1
493.72,18,17,17,1,6,16,22,0,1
494.72,18,17,17,1,6,16,22,0,1
495.714,18,17,17,1,6,16,22,0,1
496.723,18,17,17,1,6,16,22,0,1
497.714,18,17,17,1,6,16,22,0,1
498.713,18,17,17,1,6,16,22,0,1
499.712,18,17,17,1,6,16,22,0,1
500.714,18,17,17,1,6,16,22,0,1
501.714,18,17,17,1,6,16,22,0,1
502.702,18,17,17,1,6,16,22,0,1
503.724,18,17,17,1,6,16,22,0,1
504.701,18,17,17,1,6,16,22,0,1
505.721,18,17,17,1,6,16,22,0,1
506.717,18,17,18,1,6,16,22,0,1
507.722,18,17,18,1,6,16,22,0,1
508.724,18,17,18,1,6,16,22,0,1
509.718,18,17,18,1,6,16,22,0,1
510.712,18,17,18,1,6,16,22,0,1
511.703,18,17,18,1,6,16,22,0,1
512.706,18,17,18,1,6,16,22,0,1
513.717,18,17,18,1,6,16,22,0,1
514.701,18,17,18,1,6,16,22,0,1
515.706,18,17,18,1,6,16,22,0,1
516.719,18,17,18,1,6,16,22,0,1
517.709,18,17,18,1,6,16,22,0,1
518.717,18,17,18,1,6,16,22,0,1
519.711,18,17,18,1,6,16,22,0,1
520.72,18,17,18,1,6,16,22,0,1
521.716,18,17,18,1,6,16,22,0,1
522.715,18,17,18,1,6,16,22,0,1
523.714,18,17,18,1,6,16,22,0,1
524.712,18,17,18,1,6,16,22,0,1
525.718,18,17,18,1,6,16,22,0,1
526.718,18,17,18,1,6,16,22,0,1
527.72,18,17,18,1,6,16,22,0,1
528.725,18,17,18,1,6,16,22,0,1
529.722,18,17,19,1,6,15,22,0,1
530.711,18,17,19,1,6,15,22,0,1
531.703,18,17,19,1,6,15,22,0,1
532.704,18,17,19,1,6,15,22,0,1
533.721,18,17,19,1,6,15,22,0,1
534.718,18,17,19,1,6,15,22,0,1
535.707,18,17,19,1,6,15,22,0,1
536.703,18,17,19,1,6,15,22,0,1
537.71,18,17,19,1,6,15,22,0,1
538.715,18,17,19,1,6,15,22,0,1
539.724,18,17,19,1,6,15,22,0,1
540.707,18,17,19,1,6,15,22,0,1
541.703,18,17,20,1,6,15,22,0,1
542.705,18,17,20,1,6,15,22,0,1
543.705,18,17,20,1,6,15,22,0,1
544.702,18,17,20,1,6,15,22,0,1
545.714,18,17,20,1,6,15,22,0,1
546.711,18,17,20,1,6,15,22,0,1
547.71,18,17,20,1,6,15,22,0,1
548.707,18,17,20,1,6,15,22,0,1
549.723,18,17,20,1,6,15,22,0,1
550.712,18,17,20,1,6,15,22,0,1
551.711,18,17,20,1,6,15,22,0,1
552.703,18,17,20,1,6,15,22,0,1
553.718,18,17,20,1,6,15,22,0,1
554.717,18,17,20,1,6,15,22,0,1
555.704,18,17,20,1,6,15,22,0,1
556.708,18,17,20,1,6,15,22,0,1
557.713,18,17,20,1,6,15,22,0,1
558.704,18,17,20,1,6,15,22,0,1
559.708,18,17,20,1,6,15,22,0,1
560.721,18,17,21,1,6,15,22,0,1
561.714,18,17,21,1,6,15,22,0,1
562.713,18,17,21,1,6,15,22,0,1
563.72,18,17,21,1,6,15,22,0,1
564.718,18,17,21,1,6,15,22,0,1
565.701,18,17,21,1,6,15,22,0,1
566.713,18,17,21,1,6,15,22,0,1
567.706,18,17,21,1,6,15,22,0,1
568.705,18,17,21,1,6,15,22,0,1
569.708,18,17,21,1,6,15,22,0,1
570.712,18,17,21,1,6,15,22,0,1
571.703,18,17,21,1,6,15,22,0,1
572.718,18,17,21,1,6,15,22,0,1
573.719,18,17,21,1,6,15,22,0,1
574.711,18,17,21,1,6,15,22,0,1
575.722,18,17,21,1,6,15,22,0,1
576.703,18,17,21,1,6,15,22,0,1
577.713,18,17,21,1,6,15,22,0,1
578.708,18,17,21,1,6,15,22,0,1
579.716,18,17,21,1,6,15,22,0,1
580.706,18,17,21,1,6,15,22,0,1
581.718,18,17,21,1,6,15,22,0,1
582.701,18,17,21,1,6,15,22,0,1
583.726,18,17,21,1,6,15,22,0,1
584.724,18,17,21,1,6,15,22,0,1
585.717,18,17,21,1,6,15,22,0,1
586.705,18,17,21,1,6,15,22,0,1
587.715,18,17,21,1,6,15,22,0,1
588.711,18,17,22,1,6,15,22,0,1
589.72,18,17,22,1,6,15,22,0,1
590.723,18,17,22,1,6,15,22,0,1
591.703,18,17,22,1,6,15,22,0,1
592.723,18,17,22,1,6,14,22,0,1
593.709,18,17,22,1,6,14,22,0,1
594.717,18,17,22,1,6,14,22,0,1
595.718,18,17,22,1,6,14,22,0,1
596.706,18,17,22,1,6,14,22,0,1
597.705,18,17,22,1,6,14,22,0,1
598.704,18,17,22,1,6,14,22,0,1
599.725,18,17,22,1,6,14,22,0,1
600.714,18,17,22,1,6,14,22,0,1
601.71,18,17,22,1,6,14,22,0,1
602.709,18,17,22,1,6,14,22,0,1
603.708,18,17,22,1,6,14,22,0,1
604.725,18,17,22,1,6,14,22,0,1
605.711,18,17,22,1,6,14,22,0,1
606.707,18,17,22,1,6,14,22,0,1
607.721,18,17,22,1,6,14,22,0,1
608.719,18,17,22,1,6,14,22,0,1
609.712,18,17,22,1,6,14,22,0,1
610.705,18,17,22,1,6,14,22,0,1
611.707,18,17,23,1,6,14,22,0,1
612.719,18,17,23,1,6,14,22,0,1
613.718,18,17,23,1,6,14,22,0,1
614.722,18,17,23,1,6,14,22,0,1
615.717,18,17,23,1,6,14,22,0,1
616.712,18,17,23,1,6,14,22,0,1
617.708,18,17,23,1,6,14,22,0,1
618.706,18,17,23,1,6,14,22,0,1
619.711,18,17,23,1,6,14,22,0,1
620.703,18,17,23,1,6,14,22,0,1
621.708,18,17,23,1,6,14,22,0,1
622.711,18,17,24,1,6,14,22,0,1
623.722,18,17,24,1,6,14,22,0,1
624.723,18,17,24,1,6,14,22,0,1
625.727,18,17,24,1,6,14,22,0,1
626.716,18,17,24,1,6,14,22,0,1
627.701,18,17,24,1,6,14,22,0,1
628.722,18,17,24,1,6,14,22,0,1
629.707,18,17,24,1,6,14,22,0,1
630.723,18,17,24,1,6,14,22,0,1
631.716,18,17,24,1,6,14,22,0,1
632.72,18,17,24,1,6,14,22,0,1
633.708,18,17,24,1,6,14,22,0,1
634.709,18,17,24,1,6,14,22,0,1
635.718,18,17,24,1,6,14,22,0,1
636.702,18,17,24,1,6,14,22,0,1
637.722,18,17,24,1,6,14,22,0,1
638.702,18,17,24,1,6,14,22,0,1
639.722,18,17,24,1,6,14,22,0,1
640.718,18,17,24,1,6,14,22,0,1
641.718,18,17,24,1,6,14,22,0,1
642.715,18,17,24,1,6,14,22,0,1
643.722,18,17,25,1,6,14,22,0,1
644.725,18,17,25,1,6,14,22,0,1
645.707,18,17,25,1,6,14,22,0,1
646.722,18,17,25,1,6,14,22,0,1
647.72,18,17,25,1,6,14,22,0,1
648.709,18,17,25,1,6,14,22,0,1
649.714,18,17,25,1,6,14,22,0,1
650.718,18,17,25,1,6,14,22,0,1
651.711,18,17,25,1,6,14,22,0,1
652.705,18,17,25,1,6,14,22,0,1
653.713,18,17,25,1,6,14,22,0,1
654.704,18,17,25,1,6,14,22,0,1
655.721,18,17,25,1,6,14,22,0,1
656.706,18,17,25,1,6,14,22,0,1
657.703,18,17,25,1,6,14,22,0,1
658.718,18,17,25,1,6,14,22,0,1
659.704,18,17,25,1,6,13,22,0,1
660.704,18,17,25,1,6,13,22,0,1
661.707,18,17,25,1,6,13,22,0,1
662.71,18,17,25,1,6,13,22,0,1
663.706,18,17,25,1,6,13,22,0,1
664.719,18,17,25,1,6,13,22,0,1
665.71,18,17,25,1,6,13,22,0,1
666.716,18,17,25,1,6,13,22,0,1
667.724,18,17,25,1,6,13,22,0,1
668.715,18,17,25,1,6,13,22,0,1
669.709,18,17,25,1,6,13,22,0,1
670.705,18,17,25,1,6,13,22,0,1
671.713,18,17,25,1,6,13,22,0,1
672.715,18,17,25,1,6,13,22,0,1
673.714,18,17,25,1,6,13,22,0,1
674.713,18,17,25,1,6,13,22,0,1
675.704,18,17,26,1,6,13,22,0,1
676.723,18,17,26,1,6,13,22,0,1
677.711,18,17,26,1,6,13,22,0,1
678.703,18,17,26,1,6,13,22,0,1
679.726,18,17,26,1,6,13,22,0,1
680.702,18,17,26,1,6,13,22,0,1
681.706,18,17,26,1,6,13,22,0,1
682.721,18,17,26,1,6,13,22,0,1
683.723,18,17,26,1,6,13,22,0,1
684.705,18,17,26,1,6,13,22,0,1
685.719,18,17,26,1,6,13,22,0,1
686.721,18,17,26,1,6,13,22,0,1
687.718,18,17,27,1,6,13,22,0,1
688.726,18,17,27,1,6,13,22,0,1
689.706,18,17,27,1,6,13,22,0,1
690.715,18,17,27,1,6,13,22,0,1
691.714,18,17,27,1,6,13,22,0,1
692.718,18,17,27,1,6,13,22,0,1
693.708,18,17,27,1,6,13,22,0,1
694.716,18,17,27,1,6,13,22,0,1
695.722,18,17,27,1,6,13,22,0,1
696.703,18,17,27,1,6,13,22,0,1
697.701,18,17,27,1,6,13,22,0,1
698.717,18,17,27,1,6,13,22,0,1
699.725,18,17,27,1,6,13,22,0,1
700.706,18,17,27,1,6,13,22,0,1
701.704,18,17,27,1,6,13,22,0,1
702.723,18,17,27,1,6,13,22,0,1
703.722,18,17,27,1,6,13,22,0,1
704.719,18,17,27,1,6,13,22,0,1
705.713,18,17,27,1,6,13,22,0,1
